qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
105	d6	5800	3	33_i_l	d	6	i	l	1	2016-03-14	144
105	d7	6151	3	33_i_l	d	7	i	l	1	2016-03-25	155
105	d8	9571	3	33_i_l	d	8	i	l	0	NA	NA
105	e2	8249	3	33_i_l	e	2	i	l	1	2016-03-21	151
105	e3	9519	3	33_i_l	e	3	i	l	0	NA	NA
105	e4	9714	3	33_i_l	e	4	i	l	0	NA	NA
105	e5	6073	3	33_i_l	e	5	i	l	0	NA	NA
105	e6	9706	3	33_i_l	e	6	i	l	0	NA	NA
105	e7	9886	3	33_i_l	e	7	i	l	1	2016-03-25	155
106	a2	9511	3	34_i_l	a	2	i	l	1	2016-02-26	127
106	a3	9577	3	34_i_l	a	3	i	l	1	2016-04-01	162
106	a4	9830	3	34_i_l	a	4	i	l	1	2016-02-15	116
106	a5	6106	3	34_i_l	a	5	i	l	1	2016-03-29	159
106	a6	7411	3	34_i_l	a	6	i	l	0	NA	NA
106	a7	7165	3	34_i_l	a	7	i	l	1	2016-03-31	161
106	b1	9629	3	34_i_l	b	1	i	l	1	2016-03-08	138
106	b2	8241	3	34_i_l	b	2	i	l	1	2016-03-28	158
106	b3	6098	3	34_i_l	b	3	i	l	1	2016-04-08	169
106	b4	1954	3	34_i_l	b	4	i	l	1	2016-03-28	158
106	b5	6115	3	34_i_l	b	5	i	l	1	2016-04-07	168
106	b6	9595	3	34_i_l	b	6	i	l	0	NA	NA
106	b7	9514	3	34_i_l	b	7	i	l	1	2016-03-03	133
106	b8	9755	3	34_i_l	b	8	i	l	1	2016-03-01	131
106	c1	9553	3	34_i_l	c	1	i	l	1	2016-03-14	144
106	c2	9653	3	34_i_l	c	2	i	l	0	NA	NA
106	c3	9531	3	34_i_l	c	3	i	l	1	2016-03-28	158
106	c4	6203	3	34_i_l	c	4	i	l	1	2016-03-28	158
106	c5	6979	3	34_i_l	c	5	i	l	1	2016-03-14	144
106	c6	9807	3	34_i_l	c	6	i	l	1	2016-04-01	162
106	c7	8243	3	34_i_l	c	7	i	l	1	2016-03-08	138
106	c8	9427	3	34_i_l	c	8	i	l	1	2016-03-16	146
106	d1	6987	3	34_i_l	d	1	i	l	1	2016-03-01	131
106	d2	8246	3	34_i_l	d	2	i	l	1	2016-03-11	141
106	d3	7353	3	34_i_l	d	3	i	l	1	2016-03-08	138
106	d4	7373	3	34_i_l	d	4	i	l	1	2016-03-11	141
106	d5	9541	3	34_i_l	d	5	i	l	1	2016-03-04	134
106	d6	9631	3	34_i_l	d	6	i	l	1	2016-03-01	131
106	d7	9649	3	34_i_l	d	7	i	l	0	NA	NA
106	d8	7143	3	34_i_l	d	8	i	l	0	NA	NA
106	e2	9779	3	34_i_l	e	2	i	l	0	NA	NA
106	e3	9587	3	34_i_l	e	3	i	l	0	NA	NA
106	e4	9719	3	34_i_l	e	4	i	l	0	NA	NA
106	e5	8242	3	34_i_l	e	5	i	l	0	NA	NA
106	e6	9832	3	34_i_l	e	6	i	l	1	2016-03-03	133
106	e7	9718	3	34_i_l	e	7	i	l	0	NA	NA
107	a2	5349	3	35_i_l	a	2	i	l	1	2016-03-22	152
107	a3	6148	3	35_i_l	a	3	i	l	0	NA	NA
107	a4	9527	3	35_i_l	a	4	i	l	1	2016-03-25	155
107	a5	7127	3	35_i_l	a	5	i	l	1	2016-03-02	132
107	a6	9827	3	35_i_l	a	6	i	l	1	2016-03-09	139
107	a7	9938	3	35_i_l	a	7	i	l	1	2016-03-03	133
107	b1	9626	3	35_i_l	b	1	i	l	1	2016-03-16	146
107	b2	6145	3	35_i_l	b	2	i	l	0	NA	NA
107	b3	9820	3	35_i_l	b	3	i	l	1	2016-03-09	139
107	b4	6138	3	35_i_l	b	4	i	l	1	2016-03-25	155
107	b5	9764	3	35_i_l	b	5	i	l	1	2016-02-23	124
107	b6	9638	3	35_i_l	b	6	i	l	1	2016-03-14	144
107	b7	7077	3	35_i_l	b	7	i	l	1	2016-02-15	116
107	b8	9698	3	35_i_l	b	8	i	l	1	2016-03-14	144
107	c1	9845	3	35_i_l	c	1	i	l	1	2016-03-03	133
107	c2	7404	3	35_i_l	c	2	i	l	1	2016-03-10	140
107	c3	6992	3	35_i_l	c	3	i	l	0	NA	NA
107	c4	9787	3	35_i_l	c	4	i	l	1	2016-03-21	151
107	c5	9837	3	35_i_l	c	5	i	l	1	2016-03-02	132
107	c6	9699	3	35_i_l	c	6	i	l	1	2016-03-09	139
107	c7	768	3	35_i_l	c	7	i	l	1	2016-03-21	151
107	c8	9933	3	35_i_l	c	8	i	l	1	2016-02-26	127
107	d1	9640	3	35_i_l	d	1	i	l	1	2016-03-21	151
107	d2	8247	3	35_i_l	d	2	i	l	0	NA	NA
107	d3	7354	3	35_i_l	d	3	i	l	1	2016-03-25	155
107	d4	6085	3	35_i_l	d	4	i	l	1	2016-04-01	162
107	d5	9848	3	35_i_l	d	5	i	l	0	NA	NA
107	d6	6898	3	35_i_l	d	6	i	l	1	2016-03-04	134
107	d7	9880	3	35_i_l	d	7	i	l	0	NA	NA
107	d8	9871	3	35_i_l	d	8	i	l	0	NA	NA
107	e2	7378	3	35_i_l	e	2	i	l	0	NA	NA
107	e3	9747	3	35_i_l	e	3	i	l	0	NA	NA
107	e4	7186	3	35_i_l	e	4	i	l	0	NA	NA
107	e5	9920	3	35_i_l	e	5	i	l	0	NA	NA
107	e6	9882	3	35_i_l	e	6	i	l	0	NA	NA
107	e7	7133	3	35_i_l	e	7	i	l	0	NA	NA
108	a2	9849	3	36_i_l	a	2	i	l	1	2016-03-25	155
108	a3	6209	3	36_i_l	a	3	i	l	1	2016-03-08	138
108	a4	9598	3	36_i_l	a	4	i	l	0	NA	NA
108	a5	9867	3	36_i_l	a	5	i	l	1	2016-03-25	155
108	a6	6193	3	36_i_l	a	6	i	l	1	2016-03-15	145
108	a7	9910	3	36_i_l	a	7	i	l	1	2016-03-21	151
108	b1	6201	3	36_i_l	b	1	i	l	0	NA	NA
108	b2	7003	3	36_i_l	b	2	i	l	1	2016-03-18	148
108	b3	7415	3	36_i_l	b	3	i	l	0	NA	NA
108	b4	9879	3	36_i_l	b	4	i	l	1	2016-02-22	123
108	b5	9539	3	36_i_l	b	5	i	l	1	2016-03-08	138
108	b6	6188	3	36_i_l	b	6	i	l	1	2016-03-08	138
108	b7	9558	3	36_i_l	b	7	i	l	1	2016-04-04	165
108	b8	7013	3	36_i_l	b	8	i	l	1	2016-03-08	138
108	c1	9924	3	36_i_l	c	1	i	l	0	NA	NA
108	c2	8354	3	36_i_l	c	2	i	l	1	2016-03-10	140
108	c3	9380	3	36_i_l	c	3	i	l	1	2016-03-30	160
108	c4	6940	3	36_i_l	c	4	i	l	0	NA	NA
108	c5	6136	3	36_i_l	c	5	i	l	0	NA	NA
108	c6	9833	3	36_i_l	c	6	i	l	1	2016-03-08	138
108	c7	9935	3	36_i_l	c	7	i	l	1	2016-03-21	151
108	c8	9758	3	36_i_l	c	8	i	l	1	2016-03-25	155
108	d1	9560	3	36_i_l	d	1	i	l	1	2016-03-08	138
