pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_07_22/P1170599.JPG	tuebingen	167889	35837	1151	168	2017-07-11_12:49:43	123	c1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170600.JPG	tuebingen	98601	17355	1006	113	2017-07-11_12:49:46	123	d1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170601.JPG	tuebingen	137946	27610	1174	167	2017-07-11_12:55:31	123	d1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170602.JPG	tuebingen	37781	9464	178	14	2017-07-11_12:55:35	12	d3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170603.JPG	tuebingen	124440	27554	1283	85	2017-07-11_12:55:36	12	d3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170604.JPG	tuebingen	60172	11919	261	68	2017-07-11_12:55:39	123	d4	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170605.JPG	tuebingen	188735	43776	2676	147	2017-07-11_12:55:40	123	d4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170606.JPG	tuebingen	166176	30825	6514	114	2017-07-11_12:55:47	105	d7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170607.JPG	tuebingen	69724	16013	868	93	2017-07-11_12:55:48	105	d7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170608.JPG	tuebingen	22009	5951	117	13	2017-07-11_12:55:51	105	c7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170609.JPG	tuebingen	155976	32755	3675	105	2017-07-11_12:55:52	105	c7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170610.JPG	tuebingen	99616	13093	665	82	2017-07-11_12:55:55	105	c8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170611.JPG	tuebingen	148097	28760	1385	152	2017-07-11_12:55:56	105	c8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170612.JPG	tuebingen	68359	13276	773	63	2017-07-11_12:55:58	105	d3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170613.JPG	tuebingen	216856	43629	5571	124	2017-07-11_12:56:00	105	d3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170614.JPG	tuebingen	92577	18251	1364	88	2017-07-11_12:56:02	105	d2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170615.JPG	tuebingen	264364	52016	5495	267	2017-07-11_12:56:04	105	d2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170616.JPG	tuebingen	90084	18513	810	42	2017-07-11_12:56:06	105	c2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170617.JPG	tuebingen	271826	48633	5535	147	2017-07-11_12:56:08	105	c2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170618.JPG	tuebingen	25604	6550	642	26	2017-07-12_15:43:39	105	d1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170619.JPG	tuebingen	121656	29866	5946	33	2017-07-12_15:43:44	105	d1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170620.JPG	tuebingen	76854	14714	2433	61	2017-07-12_15:43:47	105	c1	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170621.JPG	tuebingen	267498	52744	7086	168	2017-07-12_15:43:51	105	c1	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170622.JPG	tuebingen	47193	8476	561	75	2017-07-12_15:44:08	105	c5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170623.JPG	tuebingen	224707	47664	2822	225	2017-07-12_15:44:10	105	c5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170624.JPG	tuebingen	69704	14150	2052	83	2017-07-12_15:44:16	105	b2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170625.JPG	tuebingen	297094	53993	3818	181	2017-07-12_15:44:18	105	b2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170626.JPG	tuebingen	48609	10039	367	65	2017-07-12_15:44:28	105	b7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170627.JPG	tuebingen	317691	65742	3575	442	2017-07-12_15:44:31	105	b7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170628.JPG	tuebingen	61871	13156	888	75	2017-07-12_15:44:35	105	c3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170629.JPG	tuebingen	165644	33230	2957	126	2017-07-12_15:44:51	105	c3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170630.JPG	tuebingen	80920	15589	627	50	2017-07-12_15:44:58	105	d8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170631.JPG	tuebingen	203212	44971	1621	298	2017-07-12_15:45:03	105	d8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170632.JPG	tuebingen	73001	13818	948	105	2017-07-12_15:45:08	105	c4	r	i	NA
