id	name	country	latitude	longitude	kgroup
8376	Sanna-2	SWE	62.69	18	11
8387	St-0	SWE	59	18	9
8420	Kelsterbach-4	GER	50.0667	8.5333	9
9057	Vinslöv	SWE	56.1	13.9167	3
9058	Västervik	SWE	57.75	16.6333	3
9098	Istisu-8	AZE	38.9786	48.5594	NA
9115	Lag2-10	GEO	41.8296	46.2831	NA
9121	Bak-5	GEO	41.7942	43.4767	8
9125	Geg-14	ARM	40.1408	44.8203	7
9298	Edinburgh-1	UK	55.9681	-3.21833	1
9314	Gol-2	UK	57.9672	-3.96722	1
9332	Bar	SWE	62.8698	18.381	11
9336	Bön	SWE	62.8794	18.4473	3
9339	Böt	SWE	57.7133	15.0689	3
9343	Dja	SWE	57.3089	18.1512	3
9363	EdJ	SWE	62.9147	18.4045	11
9371	FäL	SWE	63.016	18.3175	11
9380	FlyA	SWE	55.7488	13.3742	6
9394	Hag-2	SWE	56.5804	16.4063	3
9399	Ham-1	SWE	55.4234	13.9905	3
9402	Hel-3	SWE	57.8765	14.8549	3
9408	Kal	SWE	56.047	13.9519	3
9409	Kia	SWE	56.0573	14.302	3
9416	Kru-3	SWE	57.7215	18.3837	3
9421	Lan	SWE	55.9745	14.3997	3
9427	Näs	SWE	62.8815	18.4055	11
9470	Tur-4	SWE	57.6511	14.8043	3
9481	Yst-1	SWE	55.4242	13.8484	3
9503	11C1	UK	55.8877	-3.21072	1
9506	IP-Alo-0	POR	40.11	-7.47	4
9507	IP-Coa-0	POR	38.45	-7.5	8
9508	IP-Mos-1	POR	40.04	-7.11	4
9509	IP-Reg-0	POR	39.29	-7.4	4
9510	IP-Rei-0	POR	38.75	-7.59	8
9511	IP-Vav-0	POR	38.53	-8.02	8
9512	IP-Vid-1	POR	38.22	-7.84	8
9513	IP-Adc-5	ESP	38.77	-4.07	4
9514	IP-Adm-0	ESP	39.15	-4.54	8
9515	IP-Ala-0	ESP	39.72	-6.89	8
9517	IP-All-0	ESP	42.19	-7.8	4
9518	IP-Alm-0	ESP	39.88	-0.36	10
9519	IP-Ang-0	ESP	41.94	2.64	10
9520	IP-Ara-4	ESP	41.7	-3.68	4
9521	IP-Bar-1	ESP	41.43	2.13	10
9522	IP-Bea-0	ESP	36.52	-5.27	8
9523	IP-Ben-0	ESP	38.37	-2.66	4
