id	FT10_mean	FT10_sd	FT16_mean	FT16_sd
9356	100.5	2.081666	118	14.17744688
9363	134	6.271629241	NA	NA
9369	81.75	0.5	71.25	3.095695937
9371	129.25	5.852349955	145	NA
9380	101	3.366501646	98.25	2.753785274
9381	98.25	10.24288371	NA	NA
9382	99	7.615773106	110.6666667	8.386497084
9383	99.33333333	2.886751346	103	1
9386	115.5	8.582928793	107.75	10.71991915
9388	127.25	4.34932945	137	NA
9390	79.75	3.304037934	55	2
9391	85	2.708012802	64.5	2.081665999
9392	87.25	3.685557398	59	1.632993162
9394	110.6666667	2.081666	110.5	3.696845502
9395	104.5	4.795831523	118.25	12.52663828
9399	97	5.597618541	91	7.393691004
9402	92.25	6.701989754	78.75	1.5
