pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_530/P1030793.JPG,madrid,404281,62067,3484,359,Rocio,201,c3,r,p,10
../data/field_madrid_harvesting/2016_530/P1030803.JPG,madrid,115907,16024,266,58,Rocio,201,d8,r,p,1
../data/field_madrid_harvesting/2016_530/P1030807.JPG,madrid,496615,65855,3722,397,Rocio,201,e7,r,p,10
../data/field_madrid_harvesting/2016_530/P1030818.JPG,madrid,341345,50301,3966,171,Rocio,203,b6,i,p,1
../data/field_madrid_harvesting/2016_530/P1030827.JPG,madrid,680982,90763,6153,686,Rocio,203,d4,r,p,13
../data/field_madrid_harvesting/2016_530/P1030833.JPG,madrid,526665,77159,5016,415,Rocio,203,e3,r,p,14
../data/field_madrid_harvesting/2016_530/P1030835.JPG,madrid,382833,60709,3208,361,Rocio,203,e4,r,p,18
../data/field_madrid_harvesting/2016_530/P1030837.JPG,madrid,333878,50082,2277,317,Rocio,203,e5,r,p,15
../data/field_madrid_harvesting/2016_530/P1030841.JPG,madrid,476963,72305,4118,352,Rocio,203,e7,r,p,13
../data/field_madrid_harvesting/2016_531/P1030905.JPG,madrid,557767,61957,1809,743,Rocio,252,c6,i,i,1
