mean DTF1	sd	count	mean DTF2	sd	count	mean DTF3	sd	count	mean RL	sd	count	mean CL	sd	count	Ecotype_id
60	4.320493799	4	65.5	5.196152423	4	71	4.242640687	4	49.25	3.403429643	4	10.25	0.957427108	4	8358
61	2.449489743	4	65.5	2.081665999	4	68.75	2.986078811	4	54	6.683312552	4	13.5	2.380476143	4	8359
25.75	1.707825128	4	31.25	1.892969449	4	36	1.414213562	4	13.5	1.290994449	4	3.75	0.5	4	8360
50	7.071067812	2	54.5	6.363961031	2	59	4.242640687	2	33.5	4.949747468	2	8.5	0.707106781	2	8361
64.75	4.991659711	4	69	5.715476066	4	72.5	5.259911279	4	34.75	2.62995564	4	8.5	0.577350269	4	8362
31	0.816496581	4	36	0.816496581	4	41.66666667	0.577350269	3	20	0.816496581	4	5	0	3	8364
33	0.816496581	4	39.25	0.957427108	4	62.75	30.18139604	4	18.75	0.957427108	4	6.75	0.957427108	4	8366
41.25	2.62995564	4	45.5	3.109126351	4	53.25	3.201562119	4	36.5	2.645751311	4	10.25	1.258305739	4	8367
30.25	1.5	4	37.75	1.5	4	40.75	1.258305739	4	19.5	0.577350269	4	3.666666667	0.577350269	3	8370
61.25	8.015609771	4	65.75	8.421203398	4	73.5	9.469248474	4	44.5	9.327379053	4	8.75	1.5	4	8372
46.33333333	1.527525232	3	50	1	3	57.33333333	1.527525232	3	37	3.605551275	3	10.33333333	0.577350269	3	8373
52	4.242640687	4	55.5	4.203173404	4	64.25	3.403429643	4	37.25	4.573474245	4	11.66666667	2.516611478	3	8375
43	6.480740698	4	46	3.605551275	3	50.33333333	3.055050463	3	33.5	5	4	9	0	3	8378
38	4.582575695	3	41.33333333	4.509249753	3	50.33333333	5.131601439	3	25	8.185352772	3	7.333333333	2.516611478	3	8379
36.5	2.516611478	4	40.75	3.5	4	47.5	2.380476143	4	25.25	2.62995564	4	12	1.825741858	4	8420
61.66666667	5.773502692	3	66	7	3	73	8.185352772	3	26	4.582575695	3	7.333333333	0.577350269	3	9758
50	0	2	52.5	0.707106781	2	58.5	0.707106781	2	36.5	2.121320344	2	9	1.414213562	2	9759
27.75	1.258305739	4	32.75	0.957427108	4	38.25	0.5	4	11.75	1.258305739	4	4.5	0.577350269	4	9760
51	1.632993162	4	54.75	1.258305739	4	58	1.414213562	4	48.5	1.732050808	4	6	0	3	9761
56.5	0.577350269	4	60.25	0.957427108	4	72.75	1.5	4	40.5	1.290994449	4	12.25	0.5	4	9762
53.25	5.965176723	4	58.5	5.744562647	4	62.75	7.544313532	4	43.5	6.137317547	4	5.5	1.290994449	4	9764
30.5	2.121320344	2	35	1.414213562	2	39.5	2.121320344	2	13	0	2	3	0	2	9766
52.5	0.577350269	4	57	0.816496581	4	59.5	1.914854216	4	41.25	0.5	4	7.25	1.5	4	9767
52.5	2.380476143	4	56.5	1.914854216	4	59.25	2.5	4	40.75	0.957427108	4	7	1.414213562	4	7164
31.25	0.5	4	38.5	0.577350269	4	43	0.816496581	4	23.25	1.258305739	4	7.25	0.5	4	6008
59.75	6.652067348	4	63.25	7.804912983	4	69.25	6.551081336	4	49	12.51665557	4	9	2.160246899	4	8233
58.25	6.396613687	4	62	6.633249581	4	68.75	8.655441448	4	50.75	6.946221995	4	10.5	1	4	8235
53.66666667	10.69267662	3	58.33333333	11.01514109	3	64.66666667	11.54700538	3	41.66666667	14.36430762	3	7.333333333	2.309401077	3	8236
42.25	3.403429643	4	48	3.16227766	4	52.25	2.5	4	35.25	3.201562119	4	9.75	1.258305739	4	8238
30.5	1.290994449	4	37.5	1	4	42.5	2.380476143	4	19.5	0.577350269	4	6.25	0.957427108	4	8239
54.5	1	4	58	0.816496581	4	68.25	1.707825128	4	57	8.679477711	4	13.5	0.577350269	4	8243
46.75	1.707825128	4	52.5	1.732050808	4	58.5	1.290994449	4	43.5	4.434711565	4	13	0.816496581	4	8244
65	2.708012802	4	70	3.366501646	4	76.5	5.802298395	4	55.75	8.421203398	4	12.33333333	3.214550254	3	8246
86.75	4.924428901	4	91.25	5.315072906	4	106.75	5.852349955	4	80.25	17.51903726	4	29.75	4.272001873	4	991
