328	406	403	318	318	408	403	308	403	301	row2
328	403	328	403	403	403	403	226	323	403	row2
321	403	328	318	316	403	403	403	325	308	row2
408	403	321	403	403	408	316	403	325	321	row2
X	328	406	301	X	X	323	403	403	X	row2
X	403	328	406	287	X	316	321	x	300	row2
x	403	408	406	406	403	403	323	328	318	row2
403	406	325	408	328	x	226	403	403	328	row2
403	403	328	403	403	403	406	323	x	328	row2
328	325	403	403	226	403	328	403	328	328	row2
406	403	403	323	321	321	328	403	x	308	row2
403	328	328	403	321	403	403	411	403	328	row2
X	406	323	408	X	X	318	323	328	X	row2
X	325	328	323	213	X	406	403	403	222	row2
403	403	403	406	328	406	403	316	403	321	row2
318	406	406	321	403	406	310	406	406	226	row2
406	323	411	321	406	406	328	403	403	203	row2
403	403	406	321	216	411	403	321	403	203	row2
328	411	406	323	226	403	308		328	226	row2
328	403	328			403	403	321	403	411	row2
X	411	406	403	X	X	323	316	316	X	row2
X	328	403	323	214	X	403	325	328	223	row2
	406	316	406	403	325	403	328	403	x	row2
406	308	321	406	403	403	226	406	406	218	row2
403	x	323	403	318	403	318	325	403	126	row2
328	408	323	226	321	403	328	328	408	403	row2
403	406	403	403	403	321	328	406	408	403	row2
403	318	403	403	318	403	328	328	321	321	row2
X	403	403	209	X	X	406	316	403	X	row2
X	x	406	308	215	X	318	403	403	224	row2
403	x	na	403	403	321	403	406	323	328	row2
226	403	325	321	403	403	321	403	308	226	row2
x	321	403	403	403	403	308	403	301	403	row2
x	x	406	323	323	328	na	316	403	403	row2
321	325	406	301	406	328	321	403	318	325	row2
403	x	216	218	325	328	403	328	328	316	row2
X	x	218	308	X	X	321	403	318	X	row2
X	406	403	226	216	X	403	318	316	225	row2
x	403	321	318	406	226	403	403	406	411	row2
	318	403	328	328	301	403	325	403	308	row2
403	328	328	403	328	308	403	328	403	328	row2
411	403	308	226	321	403	403	406	403	403	row2
323	328	321	325	403	403	308	406	x	207	row2
403	403	318	328	328	403	328	406	321	321	row2
X	318	323	x	X	X	328	318	316	X	row2
X	321	226	226	217	X	403	406	308	226	row2
408	403	403	403	403	411	403	403	411	403	row2
406	406	403	403	321	406	403	403	403	308	row2
406	403	328	323	403		406	323	403	323	row2
403	321	403	328	318	403	406	403	408	226	row2
328	328	403	328	321	328	406	406	403	323	row2
328	403	328	321	403	310	406	403	403	323	row2
X	403	403	403	X	X	323	403	403	X	row2
X	325	403	403	218	X	403	325	325	227	row2
403	411	406	308	403	321	403	403	403	308	row2
406	403	406	328	403	x	321	328	328	316	row2
403	406	403	408	226	403	403	308	308	325	row2
x	328	328	403	403	403	325	321	403	325	row2
406	323	328	403	?	403	403	406	226	403	row2
?	328	203	328	318	318	406	321	328	216	row2
X	403	323	323	X	X	316	403	403	X	row2
X	321	321	323	219	X	406	321	321	228	row2
406	403	321	403	403	x	318	403	323	321	row2
x	403	321	403	318	406	406	209	216	203	row2
403	403	403	406	403	406	408	216	406	203	row2
323	406	325	406	411	403	323	226	218	403	row2
406	321	403	403	316	403	406	323	328	403	row2
