id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
6012,102,9.3094933625,125,18.38477631,GMI,Eden-7,SWE,Eden,62.877,18.177,Magnus Nordborg,2000-06-25 00:00:00,CS76829,north_sweden,,orange_circle
6013,93.75,2.2173557826,93,8.082903769,GMI,Eden-9,SWE,Eden,62.877,18.177,Magnus Nordborg,2000-06-25 00:00:00,CS76830,north_sweden,,orange_circle
6016,87.3333333333,5.6862407031,83.5,0.707106781,GMI,Eds-1,SWE,Eds,62.9,18.4,Magnus Nordborg,2000-06-25 00:00:00,CS76834,north_sweden,,orange_circle
6017,96.5,2.1213203436,104,NA,GMI,Eds-9,SWE,Eds,62.9,18.4,Magnus Nordborg,2000-06-25 00:00:00,CS76835,north_sweden,,orange_circle
6019,103.5,4.5092497528,NA,NA,GMI,Fjä1-2,SWE,Fjä1,56.06,14.29,Magnus Nordborg,2000-05-14 00:00:00,CS76860,south_sweden,,red_circle
6020,94,4.3588989435,87.25,5.251983752,GMI,Fjä1-5,SWE,Fjä1,56.06,14.29,Magnus Nordborg,2000-05-14 00:00:00,CS76861,south_sweden,,red_circle
6021,94.25,3.4034296428,87,7.257180352,GMI,Fjä2-4,SWE,Fjä2,56.06,14.29,Magnus Nordborg,2000-05-14 00:00:00,CS76862,south_sweden,,red_circle
6023,93.75,6.6520673478,89.25,7.889866919,GMI,Fly2-1,SWE,Fly2,55.7509,13.3712,Magnus Nordborg,1998-06-01 00:00:00,CS76863,south_sweden,,red_circle
6024,106.75,5.123475383,116,12.83225104,GMI,Fly2-2,SWE,Fly2,55.7509,13.3712,Magnus Nordborg,1999-05-16 00:00:00,CS76864,south_sweden,,red_circle
6025,129.25,20.4022057631,NA,NA,GMI,Gro-3,SWE,Gro,62.6437,17.7339,Magnus Nordborg,2000-06-25 00:00:00,CS76889,north_sweden,,orange_circle
6030,107.25,7.6321687612,129,7.071067812,GMI,Grön-5,SWE,Grön,62.806,18.1896,Magnus Nordborg,2000-06-25 00:00:00,CS76893,north_sweden,,orange_circle
