"","id","latitude.x","longitude.x","kgroup","X6.5","X14.5","X18.5","X20.5","X22.5","X25.5","X27.5","X29.5","X32.5","X34.5","X36.5","X39.5","X42.5","X47.5","X49.5","X53.5","X57.5","X62.5","X69.5","peakday","peakvalue","endday","endvalue","lm.r","lm.a","lm.b","exp.r","exp.a","exp.b","pol.r","pol.a","pol.b","pol.c","pol.d"
"77",7316,51.9667,5.56667,9,1904.5,8380.33333333333,31136.8333333333,NA,60727.6666666667,91029.6666666667,115748.833333333,129362.833333333,141008.166666667,139753.333333333,145728,136753.333333333,118446.833333333,51641,36782.5,9589.16666666667,2038.66666666667,918.5,NA,33,165861.666666667,68.3333333333333,143.666666666667,0.59832795947832,332486.240561124,-5464.97358078352,0.809863563843125,20.1616083412554,-0.242322052991913,0.882810124519307,822072.33506708,-19162.1101690482,-33.4450936342,2.05650125015386
"78",7323,49,38.28,7,3763.5,7717.75,29938,43360.25,68592.25,124178.25,151183.75,188186.5,224768.5,231846.75,234654.75,224895.75,116485.75,33280.75,18597.75,1472.5,330.25,144.5,2.75,35.5,237742.75,69.5,2.75,0.665841293027176,463824.297729577,-7699.12038153744,0.806223765297097,27.5628606056534,-0.4013927370327,0.919940523372418,2309177.41958598,-95659.1547594611,1260.95023450428,-5.1969825939076
"79",7333,46.5438,11.5614,2,5590.33333333333,10981.1666666667,27703,30532,42957.5,65960,81223.1666666667,98080.3333333333,111403.666666667,107565,105143,97283.3333333333,65018.5,33685.6666666667,23253.6666666667,10563,6039.33333333333,1857.5,379.666666666667,34.8333333333333,122145.666666667,69.5,379.666666666667,0.777135025609915,249703.415382726,-4064.89808296825,0.873576168209911,20.0291996659056,-0.225743564491044,0.940667252958412,222232.181144083,4031.20409078557,-299.592756178453,2.82717520444638
"80",7346,52.6058,11.8558,3,1881,15568,48491.75,66066.25,95168.25,135542.25,147592,158294.5,173569.25,169769,171441.5,172928.25,143235.75,10595,6390.25,1108.75,514,194.5,27.25,35.25,178431,69.5,27.25,0.64675686327866,361704.434051638,-5998.56010799572,0.922264472618766,24.587531097933,-0.333890787202205,0.863484394535412,1717993.9585575,-65590.2272100141,749.054655385956,-2.2918341734017
"81",7347,52,36,2,1684.25,10048,31500.25,45020.5,67959.25,100348.75,113712.5,119531.75,126847.5,129248.5,135438.5,132670.75,81674.5,10600.25,8375.5,44.75,46.25,79.5,17.75,32.5,146563.5,69.5,17.75,0.639288186810279,278425.775485388,-4635.29581027455,0.823164896271868,23.4675899532661,-0.330310873816237,0.804908449453135,958108.562304912,-32446.8024621097,282.234286920127,-0.180267353730513
"82",7353,52.08,4.3,9,1528,6298.42857142857,18493,25816.1428571429,35436.5714285714,53427.8571428571,64683.1428571429,69541.2857142857,88849.2857142857,97412.5714285714,105060.142857143,106235.714285714,103621,65993.4285714286,31226.2857142857,17157.8571428571,10737.2857142857,4451.28571428571,NA,37.6428571428571,126716,68.5,1462,0.600521322582601,287037.170644166,-4562.49215834947,0.820959789066621,19.7799411609916,-0.219542383178962,NA,-421345.238363951,40304.279421096,-945.821877412349,6.52031377275261
"83",7372,47.0748,9.9042,2,1896.33333333333,6768,24063.3333333333,44538.3333333333,63123.6666666667,114974.666666667,132583.666666667,160088.666666667,195606.333333333,203665,210310.666666667,208841.333333333,157109.666666667,47279.6666666667,34249.6666666667,147.333333333333,0,19,12,36.1666666666667,216940,69.5,12,0.708498439216216,452279.977666439,-7433.25847500274,0.735408675220982,28.958058016342,-0.432116688691665,0.921077083787997,1730498.19891694,-59602.0721213313,554.844817496752,-0.775658176171127
"84",7373,34.43,136.31,9,2591.4,14555.2,41805.4,59331.8,82781.4,106875.8,114379,125521,118714.2,97156.8,111319.4,110624.8,80795.6,25705.2,14459.2,7128.4,158.6,75.2,20.4,31.9,139515.2,69.5,20.4,0.646949602520146,260876.992492244,-4303.15126697137,0.709456536899397,20.8318961487193,-0.270661798746473,0.843149329170648,-79070.8579641575,22658.856564031,-673.300561697865,5.24794794554052
"85",7378,48.0333,7.7667,9,1325.16666666667,9447.83333333333,25107.6666666667,40336.6666666667,65627.5,109851.333333333,147518.666666667,164273.666666667,175765.5,175755.666666667,190075.166666667,182486.333333333,71475.3333333333,21291.6666666667,14842,1504.83333333333,139.5,119.666666666667,NA,36,201924,68.3333333333333,123,0.499998323951562,345854.513116455,-5850.45721786674,0.831123599872592,24.8896370103158,-0.349384303761305,0.848294333460545,3886093.24235094,-189705.583445781,3043.32550832133,-16.0101377004086
"86",7384,52.0333,5.55,9,1447,8988.625,28603.5,40464.625,58698,92280.25,100636.125,109490.25,118282.625,128976.625,139984.875,136999.375,121868.875,55515.25,41488.25,21799.25,8716.75,4914.625,NA,41.25,154120.75,68.625,2150.875,0.701549950133196,343683.994087494,-5531.87768228333,0.869071552125047,23.99222732158,-0.291294793548113,NA,3422302.17354541,-154550.484323361,2322.38667015766,-11.6078208140067
"87",7394,52.3,21,2,825.25,10933.5,34939.25,NA,64947.25,77322.75,88355.25,91047,107071.5,106617.25,106536.75,100759,79565.75,44016,32417,13518.5,6169.5,2781.75,68.25,34.25,117646.5,69.5,68.25,0.833770951167554,260026.907556717,-4185.21454706666,0.816013931973254,21.7286155609407,-0.24940002466319,0.929828369446619,-386730.693560196,38529.2388593497,-929.118672750998,6.55687053979515
"88",7404,52.6,10.0667,9,2455,15106,27512.5,42641,59830,85348,108118,128360.5,136049,130387,132853,128590.5,70786.5,8316,6719,3044.5,2078.5,1846,NA,31,137005.5,66,1827,0.768045573960112,291724.621699926,-5005.67625099087,0.922356319439356,20.162585702366,-0.233909725489009,0.904421009019562,-441090.472970819,53658.8392023132,-1469.94716113676,11.591013685685
"89",7411,47.9299,10.8134,2,1292.71428571429,9148.57142857143,30185.8571428571,48494.5714285714,70166.2857142857,105936.857142857,129826.857142857,143412.857142857,152432.285714286,151812.285714286,156600.857142857,163444.142857143,131763.428571429,33770.8571428571,31019.5714285714,15593.8571428571,1241,836.285714285714,213.714285714286,37.9285714285714,170640.285714286,69.5,213.714285714286,0.696345540535745,370095.736557407,-6036.18443985197,0.857021920172648,26.3930512444571,-0.350830896924426,0.842009325646672,66235.7647684903,24437.0667305486,-843.512500991453,6.90414390186202
