pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num,i.pred,r.pred,pred
../data/field_tuebingen_harvesting/2016_09_28/P1220173.JPG,tuebingen,121073,22005,377,40,2017-07-17_12:41:22,85,a3,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_09_28/P1220196.JPG,tuebingen,161461,39930,5753,132,2017-07-17_12:42:35,85,a7,i,i,NA,0.82,0.18,r
../data/field_tuebingen_harvesting/2016_09_28/P1220244.JPG,tuebingen,312809,56623,5954,280,2017-07-17_12:43:59,102,a5,i,i,NA,0.802,0.198,r
../data/field_tuebingen_harvesting/2016_09_28/P1220247.JPG,tuebingen,168421,27546,1057,123,2017-07-17_12:44:04,102,a6,r,i,NA,0.194,0.806,i
../data/field_tuebingen_harvesting/2016_09_28/P1220252.JPG,tuebingen,151185,29588,1018,48,2017-07-17_12:44:11,102,b7,i,i,NA,0.814,0.186,r
../data/field_tuebingen_harvesting/2016_09_28/P1220279.JPG,tuebingen,177450,28410,480,60,2017-07-17_12:46:55,103,a6,r,i,NA,0.178,0.822,i
../data/field_tuebingen_harvesting/2016_09_29/P1220706.JPG,tuebingen,143932,23482,486,53,2017-07-17_13:25:13,113,c1,r,i,NA,0.176,0.824,i
../data/field_tuebingen_harvesting/2016_11_09/P1220865.JPG,tuebingen,375759,58165,3366,272,2017-07-17_13:33:37,323,a4,i,i,NA,0.816,0.184,r
../data/field_tuebingen_harvesting/2016_11_15/P1230143.JPG,tuebingen,214184,43221,4808,140,2017-07-17_13:47:04,313,c4,r,i,NA,0.182,0.818,i
../data/field_tuebingen_harvesting/2016_11_15/P1230146.JPG,tuebingen,271391,41985,1747,177,2017-07-17_13:47:08,313,d4,i,i,NA,0.816,0.184,r
../data/field_tuebingen_harvesting/2016_11_16/P1230345.JPG,tuebingen,290523,45030,2055,249,2017-07-17_13:54:50,325,a7,i,i,NA,0.804,0.196,r
../data/field_tuebingen_harvesting/2016_11_22/P1240002.JPG,tuebingen,114971,24372,2669,62,2017-07-17_14:27:42,299,e5,r,i,NA,0.194,0.806,i
../data/field_tuebingen_harvesting/2016_11_24/P1240271.JPG,tuebingen,87029,21480,2535,74,2017-07-17_14:43:34,276,a2,r,i,NA,0.188,0.812,i
../data/field_tuebingen_harvesting/2016_11_25/P1240623.JPG,tuebingen,113204,27811,2770,67,2017-07-17_15:00:43,288,d5,r,i,NA,0.182,0.818,i
